epoch,train_loss,lambda_sym,val_rmse_x,val_rmse_y,val_rmse_z,ood_rmse_x,ood_rmse_y,ood_rmse_z
55,0.0039855558455038145,0.016667,0.05053657,0.04733819,0.07559959,6.22598,5.5563674,1.8118927
56,0.0032097831240090993,0.013333,0.031632397,0.046721634,0.073261514,6.022013,5.512305,1.7062644
57,0.0031685436753412853,0.01,0.036354512,0.041724104,0.0737634,6.17373,5.6700263,1.7573899
58,0.0029927329533399106,0.006667,0.03472359,0.03831388,0.07202649,6.0616345,5.569215,1.7311333
59,0.002743940439242392,0.003333,0.03649427,0.036215052,0.07080506,6.149181,5.6992397,1.699096
60,0.010376417209418157,0.1,0.0334972,0.038419336,0.07148658,6.2493467,5.9466925,1.7051038
61,0.005817644250316498,0.1,0.033501975,0.037682265,0.073759094,6.2590423,5.935373,1.6553875
62,0.004669695012032604,0.1,0.036432657,0.041554943,0.07364443,5.7564454,5.601686,1.4447584
63,0.0044960888231005995,0.1,0.032339316,0.036901664,0.071546055,5.5015345,5.309968,1.4127114
64,0.004364690125490038,0.1,0.038283493,0.040491715,0.07172267,5.452594,5.3072767,1.3513178
65,0.004497147917460937,0.1,0.033722788,0.040467534,0.06983042,5.316327,5.1704164,1.3383695
66,0.004106470719517137,0.1,0.029984912,0.03683485,0.07118085,5.092839,5.0479965,1.2770783
67,0.005799212848218396,0.1,0.057743683,0.052782755,0.070800304,5.2371836,5.032626,1.2845708
68,0.004285557535835183,0.1,0.03428502,0.03887155,0.068574876,4.986882,5.0782895,1.2825936
69,0.004129172583373311,0.1,0.030500814,0.03448837,0.06866576,5.112674,5.1327815,1.2597666
70,0.003888134493862685,0.1,0.031712614,0.034984127,0.068314664,4.9906983,5.0665946,1.2650096
71,0.0038098970260948706,0.1,0.030404808,0.040716507,0.0686841,4.821663,4.9403257,1.2486817
72,0.004072454066959043,0.1,0.034781314,0.038419064,0.06891435,5.014167,5.1392875,1.320967
73,0.00383250588306393,0.1,0.038689345,0.03882345,0.068279445,4.9843855,5.0771475,1.230293
74,0.004120376523739348,0.1,0.039335486,0.05452862,0.067321114,4.845953,5.0772705,1.2159946
75,0.00380555094512275,0.1,0.029714864,0.036134113,0.0684045,4.685165,4.9721847,1.1955127
76,0.0037630350099136243,0.1,0.031470347,0.038462363,0.06670453,4.7762403,5.0535693,1.228393
77,0.0038697288673108397,0.1,0.033899564,0.036931604,0.06656002,4.6520643,4.921027,1.2361104
78,0.003590760194362165,0.1,0.029390693,0.032942224,0.06478526,4.7473235,5.1011114,1.2198968
79,0.003546056268999401,0.1,0.03274883,0.03596542,0.06431869,4.7010574,5.051504,1.1947011
80,0.004813412929741809,0.1,0.09776809,0.05403164,0.06375242,5.4515767,5.720857,1.3705041
81,0.003867432795978414,0.1,0.028925894,0.034004554,0.06475257,4.639668,5.1616735,1.2158713
82,0.004208951803425757,0.1,0.032433324,0.03344311,0.0638233,4.8684254,5.2692,1.2240242
83,0.0032014665955032865,0.1,0.028682122,0.034953278,0.06277526,4.683867,5.165734,1.1870742
84,0.0031767653223748007,0.1,0.033921834,0.0326767,0.06611389,4.820567,5.221171,1.2300268
85,0.0033784784684077096,0.1,0.041796852,0.038096245,0.06301046,4.672406,5.2847815,1.1905982
86,0.003291029492034935,0.1,0.030471036,0.033302315,0.065106355,4.5251846,5.1030746,1.1402445
87,0.0035149910463354527,0.1,0.032436807,0.05166435,0.06281348,4.5912495,5.230182,1.1635737
88,0.0032753857189956573,0.1,0.027606612,0.03647194,0.06285485,4.5205245,5.1913366,1.158994
89,0.0033776034475662387,0.1,0.031022126,0.03454973,0.061685376,4.4834185,5.2176228,1.1013763
90,0.0031593143104169615,0.1,0.030181404,0.030871592,0.06245416,4.3117647,5.1666985,1.0713851
91,0.002939006191296264,0.096667,0.03704689,0.037829973,0.0620121,4.45272,5.1976643,1.1382742
92,0.0033047915382597307,0.093333,0.03418751,0.04787633,0.062541656,4.273036,4.994483,1.1021366
93,0.0029216327417928437,0.09,0.03143923,0.032864027,0.060213864,4.404597,5.193409,1.0984479
94,0.0027727288573096767,0.086667,0.032437585,0.03370804,0.06021908,4.3977103,5.251251,1.1097597
95,0.0029173389074201575,0.083333,0.03509631,0.030581808,0.061773192,4.367924,5.1413736,1.0959294
96,0.0028791417866252745,0.08,0.043701384,0.045801427,0.060386878,4.385168,5.075683,1.1071565
97,0.002749061479101865,0.076667,0.030128792,0.04008628,0.058861915,4.3487725,5.326827,1.1408185
98,0.0025825374729883596,0.073333,0.034543257,0.032786466,0.059327234,4.268791,5.153935,1.104483
99,0.002745941312661251,0.07,0.050972242,0.04461324,0.05840967,4.521267,5.4866595,1.1735495
100,0.0027906584922069064,0.066667,0.025019612,0.03251445,0.06116826,4.272813,5.2579527,1.0860709
101,0.002372081006447283,0.063333,0.029494712,0.0296157,0.061776195,4.3685503,5.3645654,1.0902205
102,0.0023369401139625087,0.06,0.023813361,0.029004525,0.062171154,4.2363396,5.236613,1.0610133
103,0.0022743268450423596,0.056667,0.025186962,0.034134507,0.055408042,4.296305,5.256346,1.113999
104,0.002155859558395325,0.053333,0.021926712,0.026360512,0.054717105,4.209821,5.291529,1.0915524
105,0.0023147619653266305,0.05,0.03960415,0.031337637,0.055126384,4.001351,5.2055607,1.0541897
106,0.0027629384339655726,0.046667,0.022620091,0.027741477,0.055298753,4.3539286,5.2935896,1.1739919
107,0.002230076601382536,0.043333,0.044692535,0.08304214,0.055430606,4.20955,5.2002974,1.1048799
108,0.00210318578263888,0.04,0.022728644,0.02572207,0.054517392,4.2497053,5.3223057,1.087188
109,0.001827852078116475,0.036667,0.025843248,0.027289292,0.052632257,4.3201723,5.4301286,1.1017635
110,0.0018366210346217626,0.033333,0.02546146,0.0307171,0.056136657,4.229147,5.3066087,1.1363982
111,0.0018059761018659442,0.03,0.032601435,0.039730866,0.053210136,4.333027,5.4025054,1.1174238
112,0.00209782739656452,0.026667,0.026668351,0.035810586,0.05423505,4.2388697,5.464458,1.1101317
113,0.001836306633403859,0.023333,0.026666002,0.040724635,0.05439214,4.344303,5.583497,1.1266598
114,0.0016800010015662664,0.02,0.02505162,0.026761053,0.051677193,4.505557,5.685262,1.1352971
115,0.0016398839145086897,0.016667,0.033175524,0.028480783,0.050587013,4.466858,5.798771,1.1080694
116,0.0018107464383296573,0.013333,0.023294233,0.025750497,0.049859643,4.595465,5.796722,1.1455568
117,0.0015643207551851773,0.01,0.024002388,0.027610606,0.051737897,4.554433,5.692165,1.0999343
118,0.0014346471624986196,0.006667,0.02202284,0.025098959,0.05008537,4.4911366,5.692802,1.0996592
119,0.0013877615434839986,0.003333,0.027312757,0.027176462,0.049336124,4.468214,5.658694,1.0615308
120,0.0051066850801595514,0.1,0.024929555,0.026546357,0.053992756,4.9857674,6.063291,1.2237338
121,0.002498566872255208,0.1,0.021211792,0.024488099,0.05166867,4.9957814,5.9864016,1.1713411
122,0.002424760770130282,0.1,0.023237532,0.03270271,0.054373767,5.084899,6.2205987,1.3395841
123,0.002817609581726197,0.1,0.023627348,0.032556534,0.052368145,5.2213545,6.081066,1.354602
124,0.002394235758588482,0.1,0.02293069,0.024988301,0.051765352,4.934538,5.9509106,1.2906474
125,0.0024402807780111637,0.1,0.028591758,0.027250323,0.053313058,4.7907863,5.918251,1.2523237
126,0.002391146022068241,0.1,0.029051952,0.03416995,0.053469777,4.716311,5.8078537,1.2578126
127,0.0027395787668259195,0.1,0.04514746,0.056202766,0.05173783,5.0506005,6.0708537,1.3762522
128,0.0024519404418802317,0.1,0.022897257,0.0315768,0.052126303,4.8395004,5.9200535,1.3680346
129,0.0023069273298367476,0.1,0.026689988,0.028149541,0.05079331,5.093015,6.1901827,1.4541993
130,0.002359018520040151,0.1,0.027210217,0.03681055,0.05132908,4.6818175,5.8437204,1.3915449
131,0.0025484780960071543,0.1,0.025813345,0.030098563,0.05360666,4.7334747,5.8788366,1.2737623
132,0.0024328741904658577,0.1,0.022960668,0.026539057,0.054702215,4.785143,5.855972,1.2779337
133,0.002319674805338041,0.1,0.036019266,0.046967622,0.050708555,5.037183,6.1733904,1.3741014
134,0.0022644045223923735,0.1,0.023697054,0.02598416,0.05068356,4.8103533,5.905467,1.3151958
135,0.001958553196462349,0.1,0.01865411,0.023006992,0.049317826,4.8700805,5.9606724,1.405642
136,0.001943104792959415,0.1,0.01848299,0.02285204,0.049749836,4.8913574,6.0049424,1.3865012
137,0.001936526898181257,0.1,0.019104684,0.02269358,0.05324686,4.6775713,5.817298,1.3277413
138,0.001940412723716014,0.1,0.018773668,0.022339988,0.04971037,4.8166437,5.960463,1.3910441
139,0.0019292851801042277,0.1,0.018720798,0.023413075,0.049587723,4.868258,5.979642,1.4278135
140,0.0019331416339040375,0.1,0.020229148,0.023535151,0.050502207,4.7969494,6.0112786,1.418859
141,0.0019389784996373914,0.1,0.020066189,0.023465313,0.05050296,4.825627,5.9949355,1.491378
142,0.0019420852365258795,0.1,0.020441076,0.026903737,0.04918931,4.804976,6.014516,1.5181463
143,0.001944576975895474,0.1,0.019258263,0.023685588,0.050234973,4.697702,5.854068,1.4485282
144,0.001933853463598121,0.1,0.0203034,0.022515437,0.048804104,4.7525263,5.968547,1.5045614
145,0.0019658033233076236,0.1,0.020180762,0.023077404,0.04934991,4.698369,5.8800406,1.4510132
146,0.0019346247024189394,0.1,0.018629596,0.023051096,0.050541475,4.796148,6.022985,1.5721931
147,0.0019046742213854136,0.1,0.021326236,0.022449728,0.049208604,4.7122297,5.861116,1.5439395
148,0.0019081148120443313,0.1,0.01900244,0.025349906,0.048583418,4.770798,6.0494437,1.5753467
149,0.0019393932650414987,0.1,0.019219028,0.02546678,0.049167108,4.843403,6.077019,1.6296822
150,0.0019211927443766631,0.1,0.018535558,0.0233621,0.04863831,4.875705,6.0782623,1.7206783
151,0.0019155291613573448,0.096667,0.018521897,0.023152038,0.048825677,4.7924666,6.015329,1.6480227
152,0.001803245550642411,0.093333,0.01883135,0.023133118,0.04890744,4.9850197,6.0991273,1.7274195
153,0.001813341836588314,0.09,0.019316155,0.022937842,0.049071856,4.962507,6.126989,1.7814335
154,0.0017850369458289768,0.086667,0.020289207,0.024044413,0.049804267,4.773053,5.994688,1.668528
155,0.0017233660619240254,0.083333,0.01747128,0.022157727,0.04793315,4.9044895,6.055966,1.740698
156,0.0016543757549534815,0.08,0.018894242,0.022364175,0.047933765,4.7667713,5.9640303,1.7114754
